X,Y,Z
0.515796280,0.000000000,0.271816500
0.515796280,0.005025721,0.276839742
0.515796280,0.010046483,0.281843159
0.515796280,0.015057330,0.286807005
0.515796280,0.020053317,0.291711691
0.515796280,0.025029514,0.296537860
0.515796280,0.029981010,0.301266464
0.515796280,0.034902919,0.305878843
0.515796280,0.039790382,0.310356794
0.515796280,0.044638577,0.314682644
0.515796280,0.049442719,0.318839320
0.515796280,0.054198067,0.322810419
0.515796280,0.058899928,0.326580268
0.515796280,0.063543663,0.330133990
0.515796280,0.068124687,0.333457559
0.515796280,0.072638480,0.336537860
0.515796280,0.077080588,0.339362734
0.515796280,0.081446627,0.341921034
0.515796280,0.085732287,0.344202664
0.515796280,0.089933340,0.346198619
0.515796280,0.094045640,0.347901021
0.515796280,0.098065129,0.349303153
0.515796280,0.101987838,0.350399480
0.515796280,0.105809898,0.351185676
0.515796280,0.109527537,0.351658638
0.515796280,0.113137085,0.351816500
0.515796280,0.116634980,0.351658638
0.515796280,0.120017771,0.351185676
0.515796280,0.123282119,0.350399480
0.515796280,0.126424802,0.349303153
0.515796280,0.129442719,0.347901021
0.515796280,0.132332892,0.346198619
0.515796280,0.135092468,0.344202664
0.515796280,0.137718724,0.341921034
0.515796280,0.140209069,0.339362734
0.515796280,0.142561044,0.336537860
0.515796280,0.144772328,0.333457559
0.515796280,0.146840740,0.330133990
0.515796280,0.148764238,0.326580268
0.515796280,0.150540923,0.322810419
0.515796280,0.152169043,0.318839320
0.515796280,0.153646990,0.314682644
0.515796280,0.154973306,0.310356794
0.515796280,0.156146682,0.305878843
0.515796280,0.157165960,0.301266464
0.515796280,0.158030134,0.296537860
0.515796280,0.158738352,0.291711691
0.515796280,0.159289914,0.286807005
0.515796280,0.159684277,0.281843159
0.515796280,0.159921050,0.276839742
0.515796280,0.160000000,0.271816500
0.515796280,0.159921050,0.266793258
0.515796280,0.159684277,0.261789841
0.515796280,0.159289914,0.256825995
0.515796280,0.158738352,0.251921309
0.515796280,0.158030134,0.247095140
0.515796280,0.157165960,0.242366536
0.515796280,0.156146682,0.237754157
0.515796280,0.154973306,0.233276206
0.515796280,0.153646990,0.228950356
0.515796280,0.152169043,0.224793680
0.515796280,0.150540923,0.220822581
0.515796280,0.148764238,0.217052732
0.515796280,0.146840740,0.213499010
0.515796280,0.144772328,0.210175441
0.515796280,0.142561044,0.207095140
0.515796280,0.140209069,0.204270266
0.515796280,0.137718724,0.201711966
0.515796280,0.135092468,0.199430336
0.515796280,0.132332892,0.197434381
0.515796280,0.129442719,0.195731979
0.515796280,0.126424802,0.194329847
0.515796280,0.123282119,0.193233520
0.515796280,0.120017771,0.192447324
0.515796280,0.116634980,0.191974362
0.515796280,0.113137085,0.191816500
0.515796280,0.109527537,0.191974362
0.515796280,0.105809898,0.192447324
0.515796280,0.101987838,0.193233520
0.515796280,0.098065129,0.194329847
0.515796280,0.094045640,0.195731979
0.515796280,0.089933340,0.197434381
0.515796280,0.085732287,0.199430336
0.515796280,0.081446627,0.201711966
0.515796280,0.077080588,0.204270266
0.515796280,0.072638480,0.207095140
0.515796280,0.068124687,0.210175441
0.515796280,0.063543663,0.213499010
0.515796280,0.058899928,0.217052732
0.515796280,0.054198067,0.220822581
0.515796280,0.049442719,0.224793680
0.515796280,0.044638577,0.228950356
0.515796280,0.039790382,0.233276206
0.515796280,0.034902919,0.237754157
0.515796280,0.029981010,0.242366536
0.515796280,0.025029514,0.247095140
0.515796280,0.020053317,0.251921309
