q1,q2,q3,q4,q5
0.000000000,0.226001817,-0.855269998,0.629268181,1.570796327
0.009743309,0.243521394,-0.865641237,0.622119843,1.570796327
0.019475156,0.260409007,-0.874689286,0.614280279,1.570796327
0.029184109,0.276610766,-0.882421380,0.605810614,1.570796327
0.038858797,0.292076105,-0.888852261,0.596776156,1.570796327
0.048487934,0.306758180,-0.894004033,0.587245853,1.570796327
0.058060353,0.320614240,-0.897905943,0.577291703,1.570796327
0.067565031,0.333605944,-0.900594076,0.566988133,1.570796327
0.076991114,0.345699621,-0.902110981,0.556411360,1.570796327
0.086327943,0.356866465,-0.902505207,0.545638742,1.570796327
0.095565079,0.367082653,-0.901830771,0.534748118,1.570796327
0.104692322,0.376329388,-0.900146557,0.523817170,1.570796327
0.113699729,0.384592861,-0.897515649,0.512922787,1.570796327
0.122577638,0.391864142,-0.894004601,0.502140459,1.570796327
0.131316677,0.398138980,-0.889682671,0.491543691,1.570796327
0.139907783,0.403417551,-0.884620998,0.481203447,1.570796327
0.148342210,0.407704133,-0.878891754,0.471187620,1.570796327
0.156611540,0.411006725,-0.872567267,0.461560543,1.570796327
0.164707693,0.413336622,-0.865719135,0.452382513,1.570796327
0.172622925,0.414707964,-0.858417327,0.443709364,1.570796327
0.180349842,0.415137244,-0.850729297,0.435592053,1.570796327
0.187881393,0.414642823,-0.842719109,0.428076286,1.570796327
0.195210873,0.413244431,-0.834446606,0.421202175,1.570796327
0.202331923,0.410962688,-0.825966608,0.415003919,1.570796327
0.209238524,0.407818651,-0.817328186,0.409509535,1.570796327
0.215924995,0.403833386,-0.808574001,0.404740615,1.570796327
0.222385983,0.399027603,-0.799739741,0.400712138,1.570796327
0.228616461,0.393421334,-0.790853662,0.397432328,1.570796327
0.234611715,0.387033680,-0.781936252,0.394902572,1.570796327
0.240367339,0.379882634,-0.773000027,0.393117394,1.570796327
0.245879224,0.371984967,-0.764049467,0.392064500,1.570796327
0.251143548,0.363356209,-0.755081107,0.391724898,1.570796327
0.256156764,0.354010689,-0.746083768,0.392073079,1.570796327
0.260915592,0.343961662,-0.737038948,0.393077286,1.570796327
0.265417005,0.333221494,-0.727921339,0.394699845,1.570796327
0.269658221,0.321801916,-0.718699488,0.396897573,1.570796327
0.273636691,0.309714318,-0.709336565,0.399622246,1.570796327
0.277350085,0.296970091,-0.699791224,0.402821133,1.570796327
0.280796289,0.283580984,-0.690018556,0.406437571,1.570796327
0.283973385,0.269559491,-0.679971083,0.410411592,1.570796327
0.286879651,0.254919219,-0.669599798,0.414680579,1.570796327
